equation_{2},answer_{2},equation_{3},answer_{3},equation_{4},answer_{4},equation_{5},answer_{5},equation_{6},answer_{6},equation_{7},answer_{7},equation_{8},answer_{8},equation_{9},answer_{9},equation_{10},answer_{10},equation_{11},answer_{11},equation_{12},answer_{12},equation_{13},answer_{13},equation_{14},answer_{14},equation_{15},answer_{15},equation_{16},answer_{16}
110001010011111_{2}+110101110101010_{2}=,110001010011111_{2}+110101110101010_{2}=8159_{10}+55338_{10}=63497_{10}=1111100001011001_{2},1021122002_{3}+1101210211_{3}=,1021122002_{3}+1101210211_{3}=1133032213_{3},12022133_{4}+12232222_{4}=,12022133_{4}+12232222_{4}=24781_{10}+24714_{10}=49495_{10},1301442_{5}+1340222_{5}=,1301442_{5}+1340222_{5}=2642104_{5},312515_{6}+331334_{6}=,3125_{6}+33134_{6}=40413_{6},133415_{7}+143233_{7}=,133415_{7}+143233_{7}=276650_{7},61237_{8}+65652_{8}=,61237_{8}+65652_{8}=21151_{10}+28062_{10}=49213_{10},37562_{9}+41724_{9}=,37562_{9}+41724_{9}=79206_{9},25247_{10}+27562_{10}=,25247_{10}+27562_{10}=52809_{10},17A72_{11}+19787_{11}=,17A72_{11}+19787_{11}=19400_{10}+21899_{10}=41299_{10}=39331_{11},1273B_{12}+13B4A_{12}=,1273B_{12}+13B4A_{12}=36855_{10}+2362_{10}=39217_{10}=2B191_{12},B651_{13}+C712_{13}=,B651_{13}+C712_{13}=25267_{10}+27562_{10}=52829_{10},92B5_{14}+A08A_{14}=,92B5_{14}+A08A_{14}=13537_{14},7732_{15}+8277_{15}=,7732_{15}+877_{15}=7119_{15}=10191_{15},629F_{16}+6BAA_{16}=,629F_{16}+6BAA_{16}=24919_{10}+27626_{10}=52545_{10}
101001011101_{2}+100001001001000_{2}=,101001011101_{2}+100001001001000_{2}=27181_{10}+34936_{10}=62117_{10}=1111000010101001_{2},10122021_{3}+212021110_{3}=,10122021_{3}+212021110_{3}=223102131_{3},221131_{4}+10021020_{4}=,221131_{4}+10021020_{4}=2653_{10}+20964_{10}=23617_{10},41103_{5}+1020333_{5}=,41103_{5}+1020333_{5}=5133_{10}+18828_{10}=23961_{10}=40042_{5},20141_{6}+210320_{6}=,20141_{6}+210320_{6}=1336_{10}+16956_{10}=18292_{10}=1956_{6},10510_{7}+100320_{7}=,10510_{7}+100320_{7}=110230_{7},5135_{8}+41110_{8}=,5135_{8}+41110_{8}=2653_{10}+4872_{10}=7525_{10},3567_{9}+25243_{9}=,3567_{9}+25243_{9}=28810_{9},2653_{10}+16968_{10}=,2653_{10}+16968_{10}=19621_{10},1AA2_{11}+11826_{11}=,1AA2_{11}+11826_{11}=1463_{10}+17388_{10}=18851_{10}=1451_{11},1651_{12}+99A0_{12}=,1651_{12}+99A0_{12}=2641_{12},1291_{13}+7953_{13}=,1291_{13}+7953_{13}=9244_{13},D77_{14}+6280_{14}=,D77_{14}+6280_{14}=2653_{10}+16968_{10}=19621_{10}=9969_{14},BBD_{15}+5063_{15}=,BBD_{15}+5063_{15}=3103_{10}+5063_{15}=8166_{10},A5D_{16}+4248_{16}=,A5D_{16}+4248_{16}=1F05_{16}
1000001011100010_{2}+111110001100101_{2}=,1000001011100010_{2}+111110001100101_{2}=50658_{10}+99125_{10}=149783_{10}=100100100110110111_{2},1200221222_{3}+1121200110_{3}=,1200221222_{3}+1121200110_{3}=19682_{10}+17813_{10}=37495_{10}=2022020102_{3},20023202_{4}+13301211_{4}=,20023202_{4}+13301211_{4}=164578_{10}+19749_{10}=184327_{10},2033011_{5}+2004340_{5}=,2033011_{5}+2004340_{5}=4037351_{5},415042_{6}+403233_{6}=,415042_{6}+403233_{6}=1025075_{6},166454_{7}+161562_{7}=,454_{7}+162_{7}=666_{7},101342_{8}+76145_{8}=,101342_{8}+76145_{8}=177527_{8},50858_{9}+47613_{9}=,5058_{9}+763_{9}=5821_{9}=111385_{9},33506_{10}+31845_{10}=,33506_{10}+31845_{10}=65351_{10},231A0_{11}+21A20_{11}=,231A0_{11}+21A20_{11}=10522_{11},17482_{12}+16519_{12}=,17482_{12}+16519_{12}=27458_{10}+26061_{10}=53519_{10}=37749_{12},12335_{13}+11658_{13}=,12335_{13}+11658_{13}=28561_{10}+28561_{10}=57122_{10},C2D4_{14}+B869_{14}=,C2D4_{14}+B869_{14}=25798_{10}+19365_{10}=45163_{10},9DDB_{15}+9680_{15}=,9DD_{15}+9680_{15}=198BD_{15},82E2_{16}+7C65_{16}=,82E2_{16}+7C65_{16}=33570_{10}+31813_{10}=65383_{10}=FE77_{16}
110011110101001_{2}+100110110100101_{2}=,110011110101001_{2}+100110110100101_{2}=31657_{10}+24469_{10}=56126_{10},1100101212_{3}+1000021012_{3}=,1100101212_{3}+1000021012_{3}=19684_{10}+17861_{10}=37545_{10},12132221_{4}+10312211_{4}=,12132221_{4}+10312211_{4}=456789_{10}+432110_{10}=888899_{10},1322122_{5}+1114002_{5}=,1322122_{5}+1114002_{5}=78127_{10}+33127_{10}=111254_{10}=1444414_{5},322505_{6}+232005_{6}=,322505_{6}+232005_{6}=555510_{6},140240_{7}+111644_{7}=,14024_{7}+11164_{7}=26131_{7},63651_{8}+46645_{8}=,63651_{8}+46645_{8}=26849_{10}+18821_{10}=45670_{10}=52546_{8},40355_{9}+30235_{9}=,4035_{9}+3023_{9}=4335_{9},26537_{10}+19877_{10}=,26537_{10}+19877_{10}=46414_{10},18A35_{11}+13A30_{11}=,18A35_{11}+13A30_{11}=22857_{10}+1807_{10}=24664_{10}=1A793_{11},13435_{12}+B605_{12}=,13435_{12}+B605_{12}=C745_{12},C104_{13}+9080_{13}=,C104_{13}+9080_{13}=10084_{13},9957_{14}+735B_{14}=,9957_{14}+735B_{14}=172D2_{14},7CE2_{15}+5D52_{15}=,7CE2_{15}+5D52_{15}=A034_{15},67A9_{16}+4DA5_{16}=,67A9_{16}+4DA5_{16}=CBEF_{16}=1124E_{16}
111101000000010_{2}+101101110101001_{2}=,111101000000010_{2}+101101110101001_{2}=1214730_{10}+74761_{10}=1299491_{10}=100111101110011110011_{2},1120211211_{3}+1012012002_{3}=,11202111_{3}+1012012002_{3}=21002201103_{3},13220002_{4}+11232221_{4}=,13220002_{4}+11232221_{4}=20008_{10}+21025_{10}=41033_{10}=3123101_{4},1444414_{5}+1222330_{5}=,1444414_{5}+1222330_{5}=3906_{10}+3795_{10}=7701_{10}=244104_{5},400334_{6}+300345_{6}=,400334_{6}+300345_{6}=31234_{10}+23465_{10}=54699_{10}=25477_{6},160030_{7}+125261_{7}=,160030_{7}+125261_{7}=507251_{7},75002_{8}+55651_{8}=,75002_{8}+55651_{8}=132653_{8},46754_{9}+35162_{9}=,46754_{9}+35162_{9}=132420_{9},31234_{10}+23465_{10}=,31234_{10}+23465_{10}=54699_{10},21515_{11}+166A2_{11}=,21515_{11}+166A2_{11}=33061_{11},160AA_{12}+116B5_{12}=,160AA_{12}+116B5_{12}=31234_{10}+23465_{10}=54699_{10},112A8_{13}+A8B0_{13}=,11A8_{13}+A8B0_{13}=B99D8_{13},B550_{14}+87A1_{14}=,B550_{14}+87A1_{14}=31234_{10}+23465_{10}=54699_{10},93C4_{15}+6E45_{15}=,93C4_{15}+6E45_{15}=31334_{10}+23465_{10}=54799_{10}=3C69E_{15},7A02_{16}+5BA9_{16}=,7A02_{16}+5BA9_{16}=D5AB_{16}
1001010101011000_{2}+11011111101011_{2}=,1001010101011000_{2}+11011111101011_{2}=9592_{10}+18139_{10}=27731_{10}=110110001001011_{2},1221110000_{3}+201122012_{3}=,1221110000_{3}+201122012_{3}=19683_{10}+16807_{10}=36490_{10},21111120_{4}+3133223_{4}=,21111120_{4}+3133223_{4}=21764_{10}+13315_{10}=35079_{10},2210412_{5}+424230_{5}=,2210412_{5}+424230_{5}=31250_{10}+3835_{10}=35085_{10}=431420_{5},453000_{6}+150135_{6}=,453000_{6}+150135_{6}=503135_{6},216315_{7}+56510_{7}=,216315_{7}+56510_{7}=33614_{10}+2081_{10}=35795_{10},112530_{8}+33753_{8}=,112530_{8}+33753_{8}=46448_{10}+14139_{10}=60587_{10}=163333_{8},57400_{9}+21565_{9}=,57400_{9}+21565_{9}=32805_{10}+6760_{10}=39565_{10}=37036_{9},38232_{10}+14315_{10}=,38232_{10}+14315_{10}=52547_{10},267A7_{11}+A834_{11}=,267A7_{11}+A834_{11}=29282_{10}+13974_{10}=43256_{10},1A160_{12}+834B_{12}=,1A160_{12}+834B_{12}=38192_{10}+14215_{10}=52407_{10},1452C_{13}+6692_{13}=,1452C_{13}+6692_{13}=2940_{10}+2147_{10}=5087_{10}=11B5_{13},DD0C_{14}+5307_{14}=,DD0C_{14}+5307_{14}=38192_{10}+14315_{10}=52507_{10}=38C3_{14},B4DC_{15}+4395_{15}=,B4DC_{15}+4395_{15}=16961_{15},9558_{16}+37EB_{16}=,9558_{16}+37EB_{16}=37848_{10}+14315_{10}=52163_{10}=CBB3_{16}
1000000100110011_{2}+10001110100111_{2}=,1000000100110011_{2}+10001110100111_{2}=35123_{10}+11943_{10}=47066_{10},1200101000_{3}+110112001_{3}=,1200101000_{3}+110112001_{3}=19683_{10}+2430_{10}=22113_{10},20010303_{4}+2032213_{4}=,20010303_{4}+2032213_{4}=16899_{10}+2983_{10}=19882_{10},2024300_{5}+243002_{5}=,2024300_{5}+243002_{5}=4453302_{5},413043_{6}+110131_{6}=,413043_{6}+110131_{6}=75103_{10}+31784_{10}=106887_{10}=1101110_{6},165300_{7}+35416_{7}=,165305_{7}+35416_{7}=112723_{7}=201211_{7},100463_{8}+21647_{8}=,100463_{8}+21647_{8}=32703_{10}+9271_{10}=41974_{10}=124116_{8},50330_{9}+13461_{9}=,50330_{9}+13461_{9}=64001_{9},33075_{10}+9127_{10}=,33075_{10}+9127_{10}=42102_{10},22939_{11}+6948_{11}=,22939_{11}+6948_{11}=36239_{10}+8660_{10}=44899_{10}=3580A_{11},17183_{12}+5347_{12}=,17183_{12}+5347_{12}=37969_{10}+7727_{10}=45696_{10}=20888_{12},12093_{13}+4201_{13}=,12093_{13}+4201_{13}=125004_{13},C0A7_{14}+347D_{14}=,C0A7_{14}+347D_{14}=33075_{10}+9117_{10}=42192_{10},9C00_{15}+2A87_{15}=,9C00_{15}+2A87_{15}=33075_{10}+9127_{10}=42202_{10},8133_{16}+23A7_{16}=,8133_{16}+23A7_{16}=32771_{10}+9111_{10}=41882_{10}=A3BA_{16}
100100000100110_{2}+10001111000110_{2}=,100100000100110_{2}+10001111000110_{2}=19406_{10}+16294_{10}=35600_{10},221100002_{3}+110120012_{3}=,22110000_{3}+11012001_{3}=30201001_{3},10200212_{4}+2033012_{4}=,10200212_{4}+2033012_{4}=30530324_{4},1042340_{5}+243113_{5}=,1042340_{5}+243113_{5}=1125453_{5},221302_{6}+110222_{6}=,221302_{6}+110222_{6}=23352_{10}+7194_{10}=30546_{10}=423020_{6},104564_{7}+35462_{7}=,104564_{7}+35462_{7}=24006_{10}+7766_{10}=31772_{10}=121623_{7},44046_{8}+21706_{8}=,44046_{8}+21706_{8}=18470_{10}+9160_{10}=27630_{10}=33316_{8},27302_{9}+13505_{9}=,27302_{9}+13505_{9}=40807_{9},18470_{10}+9158_{10}=,18470_{10}+9158_{10}=27728_{10},12971_{11}+6976_{11}=,12971_{11}+6976_{11}=140783_{11},A832_{12}+5372_{12}=,A832_{12}+5372_{12}=21926_{10}+2678_{10}=24604_{10}=1744_{12},853A_{13}+4226_{13}=,853A_{13}+4226_{13}=456010_{13},6A34_{14}+34A2_{14}=,6A34_{14}+34A2_{14}=11916_{14},5715_{15}+2AA8_{15}=,5715_{15}+2AA8_{15}=5715_{15}+9158_{15}=14873_{15},4826_{16}+23C6_{16}=,4826_{16}+23C6_{16}=18470_{10}+9168_{10}=27638_{10}=6B36_{16}
1100001000110_{2}+1001111001001101_{2}=,1100001000110_{2}+1001111001001101_{2}=6966_{10}+40493_{10}=47459_{10}=1001000001101011_{2},22112011_{3}+2001120221_{3}=,22121_{3}+201221_{3}=11310220_{3},1201012_{4}+21321031_{4}=,1201012_{4}+21321031_{4}=1878_{10}+3429_{10}=5307_{10},144324_{5}+2244100_{5}=,144324_{5}+2244100_{5}=1242_{10}+2500_{10}=3742_{10},44434_{6}+511341_{6}=,44434_{6}+511341_{6}=561315_{6},24055_{7}+226102_{7}=,24055_{7}+226102_{7}=2455_{7}+226102_{7}=13041_{7},14106_{8}+117115_{8}=,14106_{8}+117115_{8}=103221_{8},8464_{9}+61527_{9}=,864_{9}+1527_{9}=2501_{9},6214_{10}+40525_{10}=,6214_{10}+40525_{10}=46739_{10},473A_{11}+284A1_{11}=,473A_{11}+284A1_{11}=5320_{10}+3452_{10}=8772_{10}=6A36_{11},371A_{12}+1B551_{12}=,371A_{12}+1B551_{12}=5182_{10}+19321_{10}=24503_{10}=1431B_{12},2AA0_{13}+155A4_{13}=,2AA0_{13}+155A4_{13}=6214_{10}+39615_{10}=45829_{10},239C_{14}+10AA9_{14}=,239C_{14}+10AA9_{14}=6182_{10}+42585_{10}=48767_{10}=84199_{14},1C94_{15}+C01A_{15}=,1C94_{15}+C01A_{15}=65699_{10}+49186_{10}=114885_{10}=320CF_{15},1846_{16}+9E4D_{16}=,1846_{16}+9E4D_{16}=11219_{16}
100000000100001_{2}+1000100001010110_{2}=,100000000100001_{2}+1000100001010110_{2}=1048577_{10}+34782_{10}=1083359_{10},211112001_{3}+1202212200_{3}=,211112001_{3}+1202212200_{3}=3311001201_{3},10000201_{4}+20201112_{4}=,10000201_{4}+20201112_{4}=16388_{10}+643815_{10}=660203_{10}=20000223_{4},1011132_{5}+2104102_{5}=,1011132_{5}+2104102_{5}=15622_{10}+21792_{10}=37414_{10},204001_{6}+425330_{6}=,204001_{6}+425330_{6}=4665_{10}+10206_{10}=14871_{10}=112201_{6},65602_{7}+203520_{7}=,65602_{7}+20352_{7}=102254_{7},40041_{8}+104126_{8}=,40041_{8}+104126_{8}=16385_{10}+42422_{10}=58807_{10}=161357_{8},24461_{9}+52780_{9}=,24461_{9}+52780_{9}=6565_{10}+33238_{10}=39703_{10}=43158_{9},16417_{10}+34902_{10}=,16417_{10}+34902_{10}=51319_{10},11375_{11}+2424A_{11}=,1137_{11}+2520_{11}=14641_{10}+393_{10}=15034_{10},9601_{12}+18246_{12}=,9601_{12}+18246_{12}=10347_{12},761B_{13}+12B6A_{13}=,761B_{13}+12B6A_{13}=10B92_{13},5DA9_{14}+CA10_{14}=,5DA9_{14}+CA10_{14}=16317_{10}+34898_{10}=51215_{10}=182B_{14},4CE7_{15}+A51C_{15}=,4CE7_{15}+A51C_{15}=16017_{10}+17262_{10}=33279_{10}=33279_{15},4021_{16}+8856_{16}=,4021_{16}+8856_{16}=11377_{16}
