equation_{2},answer_{2},equation_{3},answer_{3},equation_{4},answer_{4},equation_{5},answer_{5},equation_{6},answer_{6},equation_{7},answer_{7},equation_{8},answer_{8},equation_{9},answer_{9},equation_{10},answer_{10},equation_{11},answer_{11},equation_{12},answer_{12},equation_{13},answer_{13},equation_{14},answer_{14},equation_{15},answer_{15},equation_{16},answer_{16}
110001010011111_{2}-110101110101010_{2}=,110001010011111_{2}-110101110101010_{2}=100101101_{2},1021122002_{3}-1101210211_{3}=,1021122002_{3}-1101210211_{3}=15399_{10},12022133_{4}-12232222_{4}=,12022133_{4}-12232222_{4}=301_{4},1301442_{5}-1340222_{5}=,1301442_{5}-1340222_{5}=444333_{5},312515_{6}-331334_{6}=,312515_{6}-331334_{6}=-3515_{6},133415_{7}-143233_{7}=,133415_{7}-143233_{7}=101102_{7},61237_{8}-65652_{8}=,61237_{8}-65652_{8}=17733_{8},37562_{9}-41724_{9}=,37562_{9}-41724_{9}=81516_{9},25247_{10}-27562_{10}=,25247_{10}-27562_{10}=-2325_{10},17A72_{11}-19787_{11}=,17A72_{11}-19787_{11}=-8607_{10},1273B_{12}-13B4A_{12}=,1273B_{12}-13B4A_{12}=-12B91_{12},B651_{13}-C712_{13}=,B651_{13}-C712_{13}=-3204_{10},92B5_{14}-A08A_{14}=,92B5_{14}-A08A_{14}=11B5_{14},7732_{15}-8277_{15}=,7732_{15}-8277_{15}=5_{15},629F_{16}-6BAA_{16}=,629F_{16}-6BAA_{16}=-9EB_{16}
101001011101_{2}-100001001001000_{2}=,101001011101_{2}-100001001001000_{2}=111111000110111_{2},10122021_{3}-212021110_{3}=,10122021_{3}-212021110_{3}=-1012000011110010_{3},221131_{4}-10021020_{4}=,221131_{4}-10021020_{4}=-2117_{10},41103_{5}-1020333_{5}=,41103_{5}-1020333_{5}=313100_{5},20141_{6}-210320_{6}=,20141_{6}-210320_{6}=-3515_{10},10510_{7}-100320_{7}=,10510_{7}-100320_{7}=443_{7},5135_{8}-41110_{8}=,5135_{8}-41110_{8}=354_{8},3567_{9}-25243_{9}=,3567_{9}-25243_{9}=1043_{9},2653_{10}-16968_{10}=,2653_{10}-16968_{10}=-14315_{10},1AA2_{11}-11826_{11}=,1AA2_{11}-11826_{11}=14315_{10},1651_{12}-99A0_{12}=,1651_{12}-99A0_{12}=-152B_{12},1291_{13}-7953_{13}=,1291_{13}-7953_{13}=-6662_{13},D77_{14}-6280_{14}=,D77_{14}-6280_{14}=-8E51_{14},BBD_{15}-5063_{15}=,BBD_{15}-5063_{15}=-B1F_{15},A5D_{16}-4248_{16}=,A5D_{16}-4248_{16}=87F_{16}
1000001011100010_{2}-111110001100101_{2}=,1000001011100010_{2}-111110001100101_{2}=-10010010011111_{2},1200221222_{3}-1121200110_{3}=,1200221222_{3}-1121200110_{3}=0002022112_{3},20023202_{4}-13301211_{4}=,20023202_{4}-13301211_{4}=03331111_{4},2033011_{5}-2004340_{5}=,2033011_{5}-2004340_{5}=0028641_{5},415042_{6}-403233_{6}=,415042_{6}-403233_{6}=11131_{6},166454_{7}-161562_{7}=,166454_{7}-161562_{7}=503_{7},101342_{8}-76145_{8}=,101342_{8}-76145_{8}=10779_{10},50858_{9}-47613_{9}=,50858_{9}-47613_{9}=02245_{9},33506_{10}-31845_{10}=,33506_{10}-31845_{10}=1661_{10},231A0_{11}-21A20_{11}=,231A0_{11}-21A20_{11}=1673_{10},17482_{12}-16519_{12}=,17482_{12}-16519_{12}=2479_{12},12335_{13}-11658_{13}=,12335_{13}-11658_{13}=00777_{13},C2D4_{14}-B869_{14}=,C2D4_{14}-B869_{14}=1561_{10},9DDB_{15}-9680_{15}=,9DDB_{15}-9680_{15}=1961_{10},82E2_{16}-7C65_{16}=,82E2_{16}-7C65_{16}=101720_{10}
110011110101001_{2}-100110110100101_{2}=,110011110101001_{2}-100110110100101_{2}=111000000110_{2},1100101212_{3}-1000021012_{3}=,1100101212_{3}-1000021012_{3}=12022022_{3},12132221_{4}-10312211_{4}=,12132221_{4}-10312211_{4}=155010_{4},1322122_{5}-1114002_{5}=,1322122_{5}-1114002_{5}=4020_{5},322505_{6}-232005_{6}=,322505_{6}-232005_{6}=10050_{6},140240_{7}-111644_{7}=,140240_{7}-111644_{7}=13344_{7},63651_{8}-46645_{8}=,63651_{8}-46645_{8}=1928_{10},40355_{9}-30235_{9}=,40355_{9}-30235_{9}=10120_{9},26537_{10}-19877_{10}=,26537_{10}-19877_{10}=6660_{10},18A35_{11}-13A30_{11}=,18A35_{11}-13A30_{11}=18132_{10},13435_{12}-B605_{12}=,13435_{12}-B605_{12}=2880_{12},C104_{13}-9080_{13}=,C104_{13}-9080_{13}=36600_{13},9957_{14}-735B_{14}=,9957_{14}-735B_{14}=D_{14},7CE2_{15}-5D52_{15}=,7CE2_{15}-5D52_{15}=6460_{10},67A9_{16}-4DA5_{16}=,67A9_{16}-4DA5_{16}=1D24_{16}
111101000000010_{2}-101101110101001_{2}=,111101000000010_{2}-101101110101001_{2}=10010100001001001_{2},1120211211_{3}-1012012002_{3}=,1120211211_{3}-1012012002_{3}=1001122212_{3},13220002_{4}-11232221_{4}=,13220002_{4}-11232221_{4}=133333_{4},1444414_{5}-1222330_{5}=,1444414_{5}-1222330_{5}=142244_{5},400334_{6}-300345_{6}=,400334_{6}-300345_{6}=100011_{6},160030_{7}-125261_{7}=,160030_{7}-125261_{7}=30775_{7},75002_{8}-55651_{8}=,75002_{8}-55651_{8}=21351_{8},46754_{9}-35162_{9}=,46754_{9}-35162_{9}=163_{9},31234_{10}-23465_{10}=,31234_{10}-23465_{10}=7769_{10},21515_{11}-166A2_{11}=,21515_{11}-166A2_{11}=19274_{10},160AA_{12}-116B5_{12}=,160AA_{12}-116B5_{12}=53D9_{12},112A8_{13}-A8B0_{13}=,112A8_{13}-A8B0_{13}=3228_{13},B550_{14}-87A1_{14}=,B550_{14}-87A1_{14}=7789_{10},93C4_{15}-6E45_{15}=,93C4_{15}-6E45_{15}=7879_{10},7A02_{16}-5BA9_{16}=,7A02_{16}-5BA9_{16}=1E79_{16}
1001010101011000_{2}-11011111101011_{2}=,1001010101011000_{2}-11011111101011_{2}=1000111010000111_{2},1221110000_{3}-201122012_{3}=,1221110000_{3}-201122012_{3}=-101000101000_{3},21111120_{4}-3133223_{4}=,21111120_{4}-3133223_{4}=23117_{10},2210412_{5}-424230_{5}=,2210412_{5}-424230_{5}=1146112_{5},453000_{6}-150135_{6}=,453000_{6}-150135_{6}=303315_{6},216315_{7}-56510_{7}=,216315_{7}-56510_{7}=159405_{7},112530_{8}-33753_{8}=,112530_{8}-33753_{8}=78775_{8},57400_{9}-21565_{9}=,57400_{9}-21565_{9}=35834_{9},38232_{10}-14315_{10}=,38232_{10}-14315_{10}=23917_{10},267A7_{11}-A834_{11}=,267A7_{11}-A834_{11}=A281_{11},1A160_{12}-834B_{12}=,1A160_{12}-834B_{12}=1A91_{12},1452C_{13}-6692_{13}=,1452C_{13}-6692_{13}=7D2_{13},DD0C_{14}-5307_{14}=,DD0C_{14}-5307_{14}=85347_{14},B4DC_{15}-4395_{15}=,B4DC_{15}-4395_{15}=1C80_{15},9558_{16}-37EB_{16}=,9558_{16}-37EB_{16}=-1305_{16}
1000000100110011_{2}-10001110100111_{2}=,1000000100110011_{2}-10001110100111_{2}=11110000101100_{2},1200101000_{3}-110112001_{3}=,1200101000_{3}-110112001_{3}=331363_{10},20010303_{4}-2032213_{4}=,20010303_{4}-2032213_{4}=30792_{10},2024300_{5}-243002_{5}=,2024300_{5}-243002_{5}=100002_{5},413043_{6}-110131_{6}=,413043_{6}-110131_{6}=40233_{6},165300_{7}-35416_{7}=,165300_{7}-35416_{7}=129884_{7},100463_{8}-21647_{8}=,100463_{8}-21647_{8}=32292_{10},50330_{9}-13461_{9}=,50330_{9}-13461_{9}=36451_{9},33075_{10}-9127_{10}=,33075_{10}-9127_{10}=23948_{10},22939_{11}-6948_{11}=,22939_{11}-6948_{11}=14221_{11},17183_{12}-5347_{12}=,17183_{12}-5347_{12}=5066_{12},12093_{13}-4201_{13}=,12093_{13}-4201_{13}=1A7C6_{13},C0A7_{14}-347D_{14}=,C0A7_{14}-347D_{14}=23948_{10},9C00_{15}-2A87_{15}=,9C00_{15}-2A87_{15}=23955_{10},8133_{16}-23A7_{16}=,8133_{16}-23A7_{16}=59AC_{16}
100100000100110_{2}-10001111000110_{2}=,100100000100110_{2}-10001111000110_{2}=10000010100000_{2},221100002_{3}-110120012_{3}=,221100002_{3}-110120012_{3}=101120100_{3},10200212_{4}-2033012_{4}=,10200212_{4}-2033012_{4}=033001_{4},1042340_{5}-243113_{5}=,1042340_{5}-243113_{5}=8001204_{5},221302_{6}-110222_{6}=,221302_{6}-110222_{6}=11012_{6},104564_{7}-35462_{7}=,104564_{7}-35462_{7}=42122_{7},44046_{8}-21706_{8}=,44046_{8}-21706_{8}=22222_{8},27302_{9}-13505_{9}=,27302_{9}-13505_{9}=13897_{9},18470_{10}-9158_{10}=,18470_{10}-9158_{10}=9312_{10},12971_{11}-6976_{11}=,12971_{11}-6976_{11}=5991_{11},A832_{12}-5372_{12}=,A832_{12}-5372_{12}=9308_{10},853A_{13}-4226_{13}=,853A_{13}-4226_{13}=9316_{10},6A34_{14}-34A2_{14}=,6A34_{14}-34A2_{14}=3B62_{14},5715_{15}-2AA8_{15}=,5715_{15}-2AA8_{15}=-3443_{15},4826_{16}-23C6_{16}=,4826_{16}-23C6_{16}=4826_{16}-9190_{16}=-4364_{16}
1100001000110_{2}-1001111001001101_{2}=,1100001000110_{2}-1001111001001101_{2}=111100111110101_{2},22112011_{3}-2001120221_{3}=,22112011_{3}-2001120221_{3}=12220001_{3},1201012_{4}-21321031_{4}=,1201012_{4}-21321031_{4}=-35156_{10},144324_{5}-2244100_{5}=,144324_{5}-2244100_{5}=-2283_{10}=4213_{5},44434_{6}-511341_{6}=,44434_{6}-511341_{6}=-53791_{10},24055_{7}-226102_{7}=,24055_{7}-226102_{7}=15353_{7},14106_{8}-117115_{8}=,14106_{8}-117115_{8}=25437_{10},8464_{9}-61527_{9}=,8464_{9}-61527_{9}=-15414_{9},6214_{10}-40525_{10}=,6214_{10}-40525_{10}=-34311_{10},473A_{11}-284A1_{11}=,473A_{11}-284A1_{11}=1284_{11},371A_{12}-1B551_{12}=,371A_{12}-1B551_{12}=-34221_{10},2AA0_{13}-155A4_{13}=,2AA0_{13}-155A4_{13}=-29247_{13},239C_{14}-10AA9_{14}=,239C_{14}-10AA9_{14}=-34447_{10},1C94_{15}-C01A_{15}=,1C94_{15}-C01A_{15}=-6392_{10},1846_{16}-9E4D_{16}=,1846_{16}-9E4D_{16}=B399_{16}
100000000100001_{2}-1000100001010110_{2}=,100000000100001_{2}-1000100001010110_{2}=1000011010100011_{2},211112001_{3}-1202212200_{3}=,211112001_{3}-1202212200_{3}=1101202211_{3},10000201_{4}-20201112_{4}=,10000201_{4}-20201112_{4}=16463_{10},1011132_{5}-2104102_{5}=,1011132_{5}-2104102_{5}=40043_{5},204001_{6}-425330_{6}=,204001_{6}-425330_{6}=131314_{6},65602_{7}-203520_{7}=,65602_{7}-203520_{7}=45202_{7},40041_{8}-104126_{8}=,40041_{8}-104126_{8}=-14851_{8},24461_{9}-52780_{9}=,24461_{9}-52780_{9}=-32323_{9},16417_{10}-34902_{10}=,16417_{10}-34902_{10}=-18485_{10},11375_{11}-2424A_{11}=,11375_{11}-2424A_{11}=2036_{11},9601_{12}-18246_{12}=,9601_{12}-18246_{12}=9923_{12},761B_{13}-12B6A_{13}=,761B_{13}-12B6A_{13}=39474_{13},5DA9_{14}-CA10_{14}=,5DA9_{14}-CA10_{14}=20F9_{14},4CE7_{15}-A51C_{15}=,4CE7_{15}-A51C_{15}=16017_{10}-34812_{10}=-18795_{10},4021_{16}-8856_{16}=,4021_{16}-8856_{16}=-44E6_{16}
