equation_{2},answer_{2},equation_{3},answer_{3},equation_{4},answer_{4},equation_{5},answer_{5},equation_{6},answer_{6},equation_{7},answer_{7},equation_{8},answer_{8},equation_{9},answer_{9},equation_{10},answer_{10},equation_{11},answer_{11},equation_{12},answer_{12},equation_{13},answer_{13},equation_{14},answer_{14},equation_{15},answer_{15},equation_{16},answer_{16}
110001010011111_{2}*110101110101010_{2}=,110001010011111_{2}*110101110101010_{2}=100110011111000101100_{2},1021122002_{3}*1101210211_{3}=,1021122002_{3}*1101210211_{3}=446613783_{10},12022133_{4}*12232222_{4}=,12022133_{4}*12232222_{4}=12232222344000000000_{4},1301442_{5}*1340222_{5}=,1301442_{5}*1340222_{5}=1300404144_{5},312515_{6}*331334_{6}=,312515_{6}*331334_{6}=33033233233030_{6},133415_{7}*143233_{7}=,133415_{7}*143233_{7}=658480214_{10},61237_{8}*65652_{8}=,61237_{8}*65652_{8}=2209253433838_{10},37562_{9}*41724_{9}=,37562_{9}*41724_{9}=379982865_{9},25247_{10}*27562_{10}=,25247_{10}*27562_{10}=696411614_{10},17A72_{11}*19787_{11}=,17A72_{11}*19787_{11}=1A85A46A8_{11},1273B_{12}*13B4A_{12}=,1273B_{12}*13B4A_{12}=1B8C4B.43_{12},B651_{13}*C712_{13}=,B651_{13}*C712_{13}=BAK581A58_{13},92B5_{14}*A08A_{14}=,92B5_{14}*A08A_{14}=1A0492_{14},7732_{15}*8277_{15}=,7732_{15}*8277_{15}=5D78148E_{15},629F_{16}*6BAA_{16}=,629F_{16}*6BAA_{16}=A8698E6_{16}
101001011101_{2}*100001001001000_{2}=,101001011101_{2}*100001001001000_{2}=10010010000010001001001010100_{2},10122021_{3}*212021110_{3}=,10122021_{3}*212021110_{3}=101221001212101212110100_{3},221131_{4}*10021020_{4}=,221131_{4}*10021020_{4}=43376672_{10},41103_{5}*1020333_{5}=,41103_{5}*1020333_{5}=34440213304_{5},20141_{6}*210320_{6}=,20141_{6}*210320_{6}=424532_{6},10510_{7}*100320_{7}=,10510_{7}*100320_{7}=4470669_{7},5135_{8}*41110_{8}=,5135_{8}*41110_{8}=501530_{8},3567_{9}*25243_{9}=,3567_{9}*25243_{9}=20364030_{9},2653_{10}*16968_{10}=,2653_{10}*16968_{10}=45030704_{10},1AA2_{11}*11826_{11}=,1AA2_{11}*11826_{11}=1A6334998_{11},1651_{12}*99A0_{12}=,1651_{12}*99A0_{12}=25972724_{10},1291_{13}*7953_{13}=,1291_{13}*7953_{13}=2B12642A7_{13},D77_{14}*6280_{14}=,D77_{14}*6280_{14}=53420_{14},BBD_{15}*5063_{15}=,BBD_{15}*5063_{15}=13435639_{10},A5D_{16}*4248_{16}=,A5D_{16}*4248_{16}=ABD398_{16}
1000001011100010_{2}*111110001100101_{2}=,1000001011100010_{2}*111110001100101_{2}=101001101111111110100100101110_{2},1200221222_{3}*1121200110_{3}=,1200221222_{3}*1121200110_{3}=172654978106_{10},20023202_{4}*13301211_{4}=,20023202_{4}*13301211_{4}=799109_{4},2033011_{5}*2004340_{5}=,2033011_{5}*2004340_{5}=832440005_{5},415042_{6}*403233_{6}=,415042_{6}*403233_{6}=3320304002_{6},166454_{7}*161562_{7}=,166454_{7}*161562_{7}=3613206_{7},101342_{8}*76145_{8}=,101342_{8}*76145_{8}=73640014_{8},50858_{9}*47613_{9}=,50858_{9}*47613_{9}=71180862_{9},33506_{10}*31845_{10}=,33506_{10}*31845_{10}=1068206770_{10},231A0_{11}*21A20_{11}=,231A0_{11}*21A20_{11}=2A232202_{11},17482_{12}*16519_{12}=,17482_{12}*16519_{12}=571114B4A_{12},12335_{13}*11658_{13}=,12335_{13}*11658_{13}=19289E94_{13},C2D4_{14}*B869_{14}=,C2D4_{14}*B869_{14}=158519257_{14},9DDB_{15}*9680_{15}=,9DDB_{15}*9680_{15}=58581245_{15},82E2_{16}*7C65_{16}=,82E2_{16}*7C65_{16}=3FA94EBA_{16}
110011110101001_{2}*100110110100101_{2}=,110011110101001_{2}*100110110100101_{2}=11101000000001011000000000101_{2},1100101212_{3}*1000021012_{3}=,1100101212_{3}*1000021012_{3}=592903814_{10},12132221_{4}*10312211_{4}=,12132221_{4}*10312211_{4}=336910740_{10},1322122_{5}*1114002_{5}=,1322122_{5}*1114002_{5}=1323032201012_{5},322505_{6}*232005_{6}=,322505_{6}*232005_{6}=65254343300_{6},140240_{7}*111644_{7}=,140240_{7}*111644_{7}=11219213_{7},63651_{8}*46645_{8}=,63651_{8}*46645_{8}=3001353473_{8},40355_{9}*30235_{9}=,40355_{9}*30235_{9}=7668068153_{9},26537_{10}*19877_{10}=,26537_{10}*19877_{10}=528936049_{10},18A35_{11}*13A30_{11}=,18A35_{11}*13A30_{11}=34241_{11},13435_{12}*B605_{12}=,13435_{12}*B605_{12}=7A778CB5_{12},C104_{13}*9080_{13}=,C104_{13}*9080_{13}=747446496_{13},9957_{14}*735B_{14}=,9957_{14}*735B_{14}=17171333_{14},7CE2_{15}*5D52_{15}=,7CE2_{15}*5D52_{15}=215383558624_{10}=5A4C43A94_{15},67A9_{16}*4DA5_{16}=,67A9_{16}*4DA5_{16}=24FC258D5_{16}
111101000000010_{2}*101101110101001_{2}=,111101000000010_{2}*101101110101001_{2}=1870567727290_{10},1120211211_{3}*1012012002_{3}=,1120211211_{3}*1012012002_{3}=26523_{10}*22318_{10}=592308114_{10},13220002_{4}*11232221_{4}=,13220002_{4}*11232221_{4}=22130222011112_{4},1444414_{5}*1222330_{5}=,1444414_{5}*1222330_{5}=24340420_{5},400334_{6}*300345_{6}=,400334_{6}*300345_{6}=1818284764_{10},160030_{7}*125261_{7}=,160030_{7}*125261_{7}=21041153_{7},75002_{8}*55651_{8}=,31234_{8}*23365_{8}=21331712_{8},46754_{9}*35162_{9}=,46754_{9}*35162_{9}=8428458_{9},31234_{10}*23465_{10}=,31234_{10}*23465_{10}=733649610_{10},21515_{11}*166A2_{11}=,21515_{11}*166A2_{11}=3927132_{11},160AA_{12}*116B5_{12}=,160AA_{12}*116B5_{12}=4B19B6A_{12},112A8_{13}*A8B0_{13}=,112A8_{13}*A8B0_{13}=14275_{13},B550_{14}*87A1_{14}=,B550_{14}*87A1_{14}=488968996_{10},93C4_{15}*6E45_{15}=,93C4_{15}*6E45_{15}=733868380_{10},7A02_{16}*5BA9_{16}=,7A02_{16}*5BA9_{16}=113F2F92_{16}
1001010101011000_{2}*11011111101011_{2}=,1001010101011000_{2}*11011111101011_{2}=11001111100001100001011100_{2},1221110000_{3}*201122012_{3}=,1221110000_{3}*201122012_{3}=100110022020211122222101_{3},21111120_{4}*3133223_{4}=,21111120_{4}*3133223_{4}=43333210_{4},2210412_{5}*424230_{5}=,2210412_{5}*424230_{5}=15777760712_{5},453000_{6}*150135_{6}=,453000_{6}*150135_{6}=242310500_{6},216315_{7}*56510_{7}=,216315_{7}*56510_{7}=61151035_{7},112530_{8}*33753_{8}=,112530_{8}*33753_{8}=13535530_{8},57400_{9}*21565_{9}=,57400_{9}*21565_{9}=664353634_{9},38232_{10}*14315_{10}=,38232_{10}*14315_{10}=547479480_{10},267A7_{11}*A834_{11}=,267A7_{11}*A834_{11}=4695830_{11},1A160_{12}*834B_{12}=,1A160_{12}*834B_{12}=3CB13B8_{12},1452C_{13}*6692_{13}=,1452C_{13}*6692_{13}=ADCF5E6_{13},DD0C_{14}*5307_{14}=,DD0C_{14}*5307_{14}=60C728_{14},B4DC_{15}*4395_{15}=,B4DC_{15}*4395_{15}=130103500_{15},9558_{16}*37EB_{16}=,9558_{16}*37EB_{16}=546139032_{10}
1000000100110011_{2}*10001110100111_{2}=,1000000100110011_{2}*10001110100111_{2}=1000001111100111001111011_{2},1200101000_{3}*110112001_{3}=,1200101000_{3}*110112001_{3}=1111001110202121000_{3},20010303_{4}*2032213_{4}=,20010303_{4}*2032213_{4}=3132202111_{4},2024300_{5}*243002_{5}=,2024300_{5}*243002_{5}=1202140_{5},413043_{6}*110131_{6}=,413043_{6}*110131_{6}=2010101_{6},165300_{7}*35416_{7}=,165300_{7}*35416_{7}=313010_{7},100463_{8}*21647_{8}=,100463_{8}*21647_{8}=643701371_{8},50330_{9}*13461_{9}=,50330_{9}*13461_{9}=435402770_{9},33075_{10}*9127_{10}=,33075_{10}*9127_{10}=301979925_{10},22939_{11}*6948_{11}=,22939_{11}*6948_{11}=297355675_{10},17183_{12}*5347_{12}=,17183_{12}*5347_{12}=305357534_{12},12093_{13}*4201_{13}=,12093_{13}*4201_{13}=6B080813C_{13},C0A7_{14}*347D_{14}=,C0A7_{14}*347D_{14}=301779225_{10},9C00_{15}*2A87_{15}=,9C00_{15}*2A87_{15}=8521210_{15},8133_{16}*23A7_{16}=,8133_{16}*23A7_{16}=11CA92ED_{16}
100100000100110_{2}*10001111000110_{2}=,100100000100110_{2}*10001111000110_{2}=110011111101101100100110_{2},221100002_{3}*110120012_{3}=,221100002_{3}*110120012_{3}=1011221000_{3},10200212_{4}*2033012_{4}=,10200212_{4}*2033012_{4}=43093783_{4},1042340_{5}*243113_{5}=,1042340_{5}*243113_{5}=7162200_{10},221302_{6}*110222_{6}=,221302_{6}*110222_{6}=12203201414_{6},104564_{7}*35462_{7}=,104564_{7}*35462_{7}=3214145452_{7},44046_{8}*21706_{8}=,44046_{8}*21706_{8}=2642024_{8},27302_{9}*13505_{9}=,27302_{9}*13505_{9}=415240386_{9},18470_{10}*9158_{10}=,18470_{10}*9158_{10}=169259060_{10},12971_{11}*6976_{11}=,12971_{11}*6976_{11}=1A7B336_{11},A832_{12}*5372_{12}=,A832_{12}*5372_{12}=1B98A_{12},853A_{13}*4226_{13}=,853A_{13}*4226_{13}=37747740_{13},6A34_{14}*34A2_{14}=,6A34_{14}*34A2_{14}=1656154_{14},5715_{15}*2AA8_{15}=,5715_{15}*2AA8_{15}=627045760_{10},4826_{16}*23C6_{16}=,4826_{16}*23C6_{16}=11C9D51A_{16}
1100001000110_{2}*1001111001001101_{2}=,1100001000110_{2}*1001111001001101_{2}=1001111001001101000_{2},22112011_{3}*2001120221_{3}=,22112011_{3}*2001120221_{3}=969955064_{10},1201012_{4}*21321031_{4}=,1201012_{4}*21321031_{4}=248235060_{10},144324_{5}*2244100_{5}=,144324_{5}*2244100_{5}=12410000_{5},44434_{6}*511341_{6}=,44434_{6}*511341_{6}=124193620_{10}=2004004042_{6},24055_{7}*226102_{7}=,24055_{7}*226102_{7}=14231220205_{7},14106_{8}*117115_{8}=,14106_{8}*117115_{8}=341106_{8},8464_{9}*61527_{9}=,8464_{9}*61527_{9}=3600663664_{9},6214_{10}*40525_{10}=,6214_{10}*40525_{10}=252065050_{10},473A_{11}*284A1_{11}=,473A_{11}*284A1_{11}=2261AA_{11},371A_{12}*1B551_{12}=,371A_{12}*1B551_{12}=251496150_{10},2AA0_{13}*155A4_{13}=,2AA0_{13}*155A4_{13}=4B7B18A0_{13},239C_{14}*10AA9_{14}=,239C_{14}*10AA9_{14}=6214_{10}*40525_{10}=251639150_{10},1C94_{15}*C01A_{15}=,1C94_{15}*C01A_{15}=251534350_{10},1846_{16}*9E4D_{16}=,1846_{16}*9E4D_{16}=3D504CA_{16}
100000000100001_{2}*1000100001010110_{2}=,100000000100001_{2}*1000100001010110_{2}=351105_{10}*43038_{10}=15100061930_{10},211112001_{3}*1202212200_{3}=,211112001_{3}*1202212200_{3}=202011221200_{3},10000201_{4}*20201112_{4}=,10000201_{4}*20201112_{4}=1346765370_{10},1011132_{5}*2104102_{5}=,1011132_{5}*2104102_{5}=4203420344_{5},204001_{6}*425330_{6}=,204001_{6}*425330_{6}=23320140_{6},65602_{7}*203520_{7}=,65602_{7}*203520_{7}=6458_{7},40041_{8}*104126_{8}=,40041_{8}*104126_{8}=10160400416_{8},24461_{9}*52780_{9}=,24461_{9}*52780_{9}=1497051600_{10},16417_{10}*34902_{10}=,16417_{10}*34902_{10}=572124234_{10},11375_{11}*2424A_{11}=,11375_{11}*2424A_{11}=1A0102A0_{11},9601_{12}*18246_{12}=,9601_{12}*18246_{12}=328804112_{10},761B_{13}*12B6A_{13}=,761B_{13}*12B6A_{13}=571991068_{10},5DA9_{14}*CA10_{14}=,5DA9_{14}*CA10_{14}=569413634_{10},4CE7_{15}*A51C_{15}=,4CE7_{15}*A51C_{15}=73F710_{15},4021_{16}*8856_{16}=,4021_{16}*8856_{16}=8A4C9AA_{16}
