equation_{2},answer_{2},equation_{3},answer_{3},equation_{4},answer_{4},equation_{5},answer_{5},equation_{6},answer_{6},equation_{7},answer_{7},equation_{8},answer_{8},equation_{9},answer_{9},equation_{10},answer_{10},equation_{11},answer_{11},equation_{12},answer_{12},equation_{13},answer_{13},equation_{14},answer_{14},equation_{15},answer_{15},equation_{16},answer_{16}
110001010011111_{2}*110101110101010_{2}=,110001010011111_{2}*110101110101010_{2}=25147_{10}*27462_{10}=690440814_{10}=10100100110001010111101011110_{2},1021122002_{3}*1101210211_{3}=,1021122002_{3}*1101210211_{3}=25247_{10}*27562_{10}=695692214_{10}=1210110010111022202_{3},12022133_{4}*12232222_{4}=,12022133_{4}*12232222_{4}=25247_{10}*27462_{10}=693151674_{10},1301442_{5}*1340222_{5}=,1301442_{5}*1340222_{5}=25247_{10}*27562_{10}=696252514_{10}=2021142020044_{5},312515_{6}*331334_{6}=,312515_{6}*331334_{6}=25247_{10}*27562_{10}=695889814_{10}=1531055200334_{6},133415_{7}*143233_{7}=,133415_{7}*143233_{7}=25247_{10}*27562_{10}=695475514_{10}=230166356206_{7},61237_{8}*65652_{8}=,61237_{8}*65652_{8}=25247_{10}*27662_{10}=698065654_{10}=512763316_{8},37562_{9}*41724_{9}=,37562_{9}*41724_{9}=25247_{10}*27562_{10}=695479214_{10},25247_{10}*27562_{10}=,25247_{10}*27562_{10}=695857814_{10},17A72_{11}*19787_{11}=,17A72_{11}*19787_{11}=25247_{10}*27562_{10}=695988414_{10}=31096A6A_{11},1273B_{12}*13B4A_{12}=,1273B_{12}*13B4A_{12}=25247_{10}*27562_{10}=695143514_{10},B651_{13}*C712_{13}=,B651_{13}*C712_{13}=25247_{10}*27562_{10}=695828214_{10},92B5_{14}*A08A_{14}=,92B5_{14}*A08A_{14}=25247_{10}*27562_{10}=695696614_{10},7732_{15}*8277_{15}=,7732_{15}*8277_{15}=25247_{10}*27562_{10}=695933514_{10}=497604839_{15},629F_{16}*6BAA_{16}=,629F_{16}*6BAA_{16}=25247_{10}*27562_{10}=695668414_{10}=29577EBE_{16}
101001011101_{2}*100001001001000_{2}=,101001011101_{2}*100001001001000_{2}=2605_{10}*16968_{10}=44125640_{10}=1010100000100001010101000_{2},10122021_{3}*212021110_{3}=,10122021_{3}*212021110_{3}=2653_{10}*16868_{10}=44807924_{10}=10102022102020202_{3},221131_{4}*10021020_{4}=,221131_{4}*10021020_{4}=2653_{10}*16968_{10}=45023544_{10}=22323121230300_{4},41103_{5}*1020333_{5}=,41103_{5}*1020333_{5}=2653_{10}*16968_{10}=45013224_{10}=430140340344_{5},20141_{6}*210320_{6}=,20141_{6}*210320_{6}=2653_{10}*16968_{10}=45035184_{10},10510_{7}*100320_{7}=,10510_{7}*100320_{7}=2653_{10}*16968_{10}=45026504_{10},5135_{8}*41110_{8}=,5135_{8}*41110_{8}=2653_{10}*16968_{10}=45025824_{10}=25063040_{8},3567_{9}*25243_{9}=,3567_{9}*25243_{9}=2653_{10}*16968_{10}=45020504_{10}=103673462_{9},2653_{10}*16968_{10}=,2653_{10}*16968_{10}=45037824_{10},1AA2_{11}*11826_{11}=,1AA2_{11}*11826_{11}=2653_{10}*16968_{10}=45012744_{10}=233A18A7_{11},1651_{12}*99A0_{12}=,1651_{12}*99A0_{12}=2653_{10}*16968_{10}=45032784_{10}=130B568_{12},1291_{13}*7953_{13}=,1291_{13}*7953_{13}=2653_{10}*16968_{10}=45028704_{10}=94021106_{13},D77_{14}*6280_{14}=,D77_{14}*6280_{14}=2653_{10}*16968_{10}=45033144_{10}=5D37A96_{14},BBD_{15}*5063_{15}=,BBD_{15}*5063_{15}=2653_{10}*16968_{10}=45039744_{10},A5D_{16}*4248_{16}=,A5D_{16}*4248_{16}=2653_{10}*16968_{10}=45029304_{10}=2AEC3F8_{16}
1000001011100010_{2}*111110001100101_{2}=,1000001011100010_{2}*111110001100101_{2}=33409_{10}*31745_{10}=1060548605_{10}=1111110011110000000110011101101_{2},1200221222_{3}*1121200110_{3}=,1200221222_{3}*1121200110_{3}=33486_{10}*31845_{10}=1065885270_{10},20023202_{4}*13301211_{4}=,20023202_{4}*13301211_{4}=33406_{10}*31845_{10}=1064099070_{10}=33321303333032_{4},2033011_{5}*2004340_{5}=,2033011_{5}*2004340_{5}=33506_{10}*31845_{10}=1067338170_{10},415042_{6}*403233_{6}=,415042_{6}*403233_{6}=33406_{10}*31845_{10}=1063708170_{10}=253314545210_{6},166454_{7}*161562_{7}=,166454_{7}*161562_{7}=33506_{10}*31845_{10}=1067731770_{10}=35031327420_{7},101342_{8}*76145_{8}=,101342_{8}*76145_{8}=33506_{10}*31845_{10}=1067241570_{10}=7775140122_{8},50858_{9}*47613_{9}=,50858_{9}*47613_{9}=33506_{10}*31845_{10}=1067383770_{10}=2671423626_{9},33506_{10}*31845_{10}=,33506_{10}*31845_{10}=1066730870_{10},231A0_{11}*21A20_{11}=,231A0_{11}*21A20_{11}=33506_{10}*31845_{10}=1067432370_{10},17482_{12}*16519_{12}=,17482_{12}*16519_{12}=33506_{10}*31845_{10}=1067126070_{10}=259469586_{12},12335_{13}*11658_{13}=,12335_{13}*11658_{13}=33506_{10}*31845_{10}=1066969770_{10},C2D4_{14}*B869_{14}=,C2D4_{14}*B869_{14}=33506_{10}*31845_{10}=1066920270_{10}=1A7C4A402_{14},9DDB_{15}*9680_{15}=,9DDB_{15}*9680_{15}=33506_{10}*31845_{10}=1067301570_{10},82E2_{16}*7C65_{16}=,82E2_{16}*7C65_{16}=33506_{10}*31845_{10}=1066883070_{10}=3F9757EF_{16}
110011110101001_{2}*100110110100101_{2}=,110011110101001_{2}*100110110100101_{2}=26307_{10}*19861_{10}=522272727_{10}=1111100110001000010001100111111_{2},1100101212_{3}*1000021012_{3}=,1100101212_{3}*1000021012_{3}=26537_{10}*19877_{10}=527693849_{10},12132221_{4}*10312211_{4}=,12132221_{4}*10312211_{4}=26437_{10}*19877_{10}=525635149_{10}=133110320232031_{4},1322122_{5}*1114002_{5}=,1322122_{5}*1114002_{5}=26537_{10}*19877_{10}=527592649_{10},322505_{6}*232005_{6}=,322505_{6}*232005_{6}=26537_{10}*19877_{10}=527287149_{10}=1241533332113_{6},140240_{7}*111644_{7}=,140240_{7}*111644_{7}=26437_{10}*19877_{10}=525761749_{10}=16022702142_{7},63651_{8}*46645_{8}=,63651_{8}*46645_{8}=26537_{10}*19877_{10}=527566849_{10}=370440041_{8},40355_{9}*30235_{9}=,40355_{9}*30235_{9}=26537_{10}*19877_{10}=527519249_{10}=130657557_{9},26537_{10}*19877_{10}=,26537_{10}*19877_{10}=530740000_{10}-3268051_{10}=527471949_{10},18A35_{11}*13A30_{11}=,18A35_{11}*13A30_{11}=26537_{10}*19877_{10}=527512349_{10}=250498291_{11},13435_{12}*B605_{12}=,13435_{12}*B605_{12}=26537_{10}*19877_{10}=527660849_{10}=1288679375_{12},C104_{13}*9080_{13}=,C104_{13}*9080_{13}=26537_{10}*19877_{10}=527654489_{10}=854BB398_{13},9957_{14}*735B_{14}=,9957_{14}*735B_{14}=26537_{10}*19877_{10}=527578649_{10}=500D8373_{14},7CE2_{15}*5D52_{15}=,7CE2_{15}*5D52_{15}=26537_{10}*19877_{10}=527591249_{10}=314141148_{15},67A9_{16}*4DA5_{16}=,67A9_{16}*4DA5_{16}=26537_{10}*19877_{10}=527490049_{10}=1F4CD77_{16}
111101000000010_{2}*101101110101001_{2}=,111101000000010_{2}*101101110101001_{2}=31234_{10}*24041_{10}=750617594_{10}=1011001101100010000001111010_{2},1120211211_{3}*1012012002_{3}=,1120211211_{3}*1012012002_{3}=31234_{10}*23465_{10}=732560910_{10}=1210102211220102020_{3},13220002_{4}*11232221_{4}=,13220002_{4}*11232221_{4}=31234_{10}*23465_{10}=732256810_{10},1444414_{5}*1222330_{5}=,1444414_{5}*1222330_{5}=31234_{10}*23465_{10}=732050410_{10}=2414444110320_{5},400334_{6}*300345_{6}=,400334_{6}*300345_{6}=31234_{10}*23465_{10}=732322610_{10},160030_{7}*125261_{7}=,160030_{7}*125261_{7}=31234_{10}*23465_{10}=732074810_{10}=248535602370_{7},75002_{8}*55651_{8}=,75002_{8}*55651_{8}=31234_{10}*23465_{10}=732292610_{10}=5260035632_{8},46754_{9}*35162_{9}=,46754_{9}*35162_{9}=31234_{10}*23465_{10}=732154710_{10},31234_{10}*23465_{10}=,31234_{10}*23465_{10}=732421610_{10},21515_{11}*166A2_{11}=,21515_{11}*166A2_{11}=31234_{10}*23465_{10}=732878810_{10}=347576864_{11},160AA_{12}*116B5_{12}=,160AA_{12}*116B5_{12}=31234_{10}*23465_{10}=732928810_{10}=185554874A_{12},112A8_{13}*A8B0_{13}=,112A8_{13}*A8B0_{13}=31234_{10}*23465_{10}=732120310_{10}=B95655712_{13},B550_{14}*87A1_{14}=,B550_{14}*87A1_{14}=31234_{10}*23465_{10}=732665810_{10}=6D4A6C2_{14},93C4_{15}*6E45_{15}=,93C4_{15}*6E45_{15}=31234_{10}*23465_{10}=732923710_{10}=444752AA_{15},7A02_{16}*5BA9_{16}=,7A02_{16}*5BA9_{16}=31234_{10}*23465_{10}=732637610_{10}=2BA6C1CA_{16}
1001010101011000_{2}*11011111101011_{2}=,1001010101011000_{2}*11011111101011_{2}=43360_{10}*12325_{10}=534394000_{10}=111111110111011000001101010000_{2},1221110000_{3}*201122012_{3}=,1221110000_{3}*201122012_{3}=38232_{10}*14243_{10}=544625976_{10}=1102212101221110010_{3},21111120_{4}*3133223_{4}=,21111120_{4}*3133223_{4}=38232_{10}*14215_{10}=543585480_{10},2210412_{5}*424230_{5}=,2210412_{5}*424230_{5}=38132_{10}*14315_{10}=545918180_{10}=2104322342310_{5},453000_{6}*150135_{6}=,453000_{6}*150135_{6}=38232_{10}*14315_{10}=547438680_{10},216315_{7}*56510_{7}=,216315_{7}*56510_{7}=38232_{10}*14315_{10}=547248480_{10},112530_{8}*33753_{8}=,112530_{8}*33753_{8}=38232_{10}*14265_{10}=545270280_{10}=404205010_{8},57400_{9}*21565_{9}=,57400_{9}*21565_{9}=38232_{10}*14315_{10}=547377480_{10}=136837660_{9},38232_{10}*14315_{10}=,38232_{10}*14315_{10}=547474680_{10},267A7_{11}*A834_{11}=,267A7_{11}*A834_{11}=38232_{10}*14315_{10}=547207380_{10},1A160_{12}*834B_{12}=,1A160_{12}*834B_{12}=38232_{10}*14315_{10}=547296180_{10}=133536310_{12},1452C_{13}*6692_{13}=,1452C_{13}*6692_{13}=496016_{10}*14315_{10}=7100803440_{10},DD0C_{14}*5307_{14}=,DD0C_{14}*5307_{14}=38232_{10}*14315_{10}=547146180_{10}=529A5A210_{14},B4DC_{15}*4395_{15}=,B4DC_{15}*4395_{15}=38232_{10}*14315_{10}=547263480_{10},9558_{16}*37EB_{16}=,9558_{16}*37EB_{16}=38232_{10}*14315_{10}=547324680_{10}=20F83D0_{16}
1000000100110011_{2}*10001110100111_{2}=,1000000100110011_{2}*10001110100111_{2}=33043_{10}*8979_{10}=296617197_{10}=100011011010010011110010101_{2},1200101000_{3}*110112001_{3}=,1200101000_{3}*110112001_{3}=33075_{10}*9127_{10}=301863525_{10}=210000021220220_{3},20010303_{4}*2032213_{4}=,20010303_{4}*2032213_{4}=33075_{10}*9127_{10}=301682025_{10}=10133231321121_{4},2024300_{5}*243002_{5}=,2024300_{5}*243002_{5}=33075_{10}*9127_{10}=301726725_{10}=110422324300_{5},413043_{6}*110131_{6}=,413043_{6}*110131_{6}=33075_{10}*9127_{10}=301786725_{10}=4554020433_{6},165300_{7}*35416_{7}=,165300_{7}*35416_{7}=33075_{10}*9127_{10}=301726125_{10}=10322455201_{7},100463_{8}*21647_{8}=,100463_{8}*21647_{8}=33075_{10}*9127_{10}=301860525_{10}=2177404235_{8},50330_{9}*13461_{9}=,50330_{9}*13461_{9}=33075_{10}*9127_{10}=301821525_{10}=688520260_{9},33075_{10}*9127_{10}=,33075_{10}*9127_{10}=301826025_{10},22939_{11}*6948_{11}=,22939_{11}*6948_{11}=33075_{10}*9127_{10}=301815225_{10}=1404502478_{11},17183_{12}*5347_{12}=,17183_{12}*5347_{12}=33075_{10}*9127_{10}=301804725_{10},12093_{13}*4201_{13}=,12093_{13}*4201_{13}=33075_{10}*9127_{10}=301834725_{10}=49283997_{13},C0A7_{14}*347D_{14}=,C0A7_{14}*347D_{14}=33075_{10}*9127_{10}=301793025_{10},9C00_{15}*2A87_{15}=,9C00_{15}*2A87_{15}=33075_{10}*10027_{10}=331104025_{10}=1E1046A_{15},8133_{16}*23A7_{16}=,8133_{16}*23A7_{16}=33075_{10}*9127_{10}=301792725_{10}=1CFFDD5_{16}=11CFFDD5_{16}
100100000100110_{2}*10001111000110_{2}=,100100000100110_{2}*10001111000110_{2}=147766_{10}*9164_{10}=1353639824_{10}=101000011000000101111001000000_{2},221100002_{3}*110120012_{3}=,221100002_{3}*110120012_{3}=18270_{10}*9158_{10}=167290260_{10}=1022200000000002_{3},10200212_{4}*2033012_{4}=,10200212_{4}*2033012_{4}=18470_{10}*9158_{10}=169071860_{10}=220311310303100_{4},1042340_{5}*243113_{5}=,1042340_{5}*243113_{5}=18470_{10}*9158_{10}=169054260_{10}=32021424320_{5},221302_{6}*110222_{6}=,221302_{6}*110222_{6}=18470_{10}*9158_{10}=169112260_{10}=24443044444_{6},104564_{7}*35462_{7}=,104564_{7}*35462_{7}=18470_{10}*9158_{10}=169026460_{10}=4124456031_{7},44046_{8}*21706_{8}=,44046_{8}*21706_{8}=18470_{10}*9158_{10}=169049260_{10}=1214676544_{8},27302_{9}*13505_{9}=,27302_{9}*13505_{9}=18470_{10}*9158_{10}=169091260_{10}=338153517_{9},18470_{10}*9158_{10}=,18470_{10}*9158_{10}=169048260_{10},12971_{11}*6976_{11}=,12971_{11}*6976_{11}=18470_{10}*9158_{10}=169086260_{10}=88145112_{11},A832_{12}*5372_{12}=,A832_{12}*5372_{12}=18470_{10}*9158_{10}=169000260_{10}=4872A30_{12},853A_{13}*4226_{13}=,853A_{13}*4226_{13}=18470_{10}*9158_{10}=169098260_{10}=29505856_{13},6A34_{14}*34A2_{14}=,6A34_{14}*34A2_{14}=18470_{10}*9158_{10}=169112260_{10}=184A732_{14},5715_{15}*2AA8_{15}=,5715_{15}*2AA8_{15}=18470_{10}*9158_{10}=169075260_{10}=EDC950_{15},4826_{16}*23C6_{16}=,4826_{16}*23C6_{16}=18470_{10}*9158_{10}=169073860_{10}=A138EA4_{16}
1100001000110_{2}*1001111001001101_{2}=,1100001000110_{2}*1001111001001101_{2}=6222_{10}*40425_{10}=251488350_{10}=1110111111001000110001110_{2},22112011_{3}*2001120221_{3}=,22112011_{3}*2001120221_{3}=6214_{10}*40425_{10}=251162850_{10}=112111211201120210_{3},1201012_{4}*21321031_{4}=,1201012_{4}*21321031_{4}=6214_{10}*40525_{10}=251818850_{10}=330012132102_{4},144324_{5}*2244100_{5}=,144324_{5}*2244100_{5}=6214_{10}*40525_{10}=251819350_{10}=100341242200_{5},44434_{6}*511341_{6}=,44434_{6}*511341_{6}=6214_{10}*40525_{10}=251642350_{10}=414350243512_{6},24055_{7}*226102_{7}=,24055_{7}*226102_{7}=6214_{10}*40525_{10}=251770850_{10}=61450402642_{7},14106_{8}*117115_{8}=,14106_{8}*117115_{8}=6214_{10}*40525_{10}=251711350_{10},8464_{9}*61527_{9}=,8464_{9}*61527_{9}=6214_{10}*40525_{10}=251769350_{10}=557655752_{9},6214_{10}*40525_{10}=,6214_{10}*40525_{10}=251765350_{10},473A_{11}*284A1_{11}=,473A_{11}*284A1_{11}=6214_{10}*40525_{10}=251793350_{10}=114A43857_{11},371A_{12}*1B551_{12}=,371A_{12}*1B551_{12}=6214_{10}*40525_{10}=251834350_{10}=7049507A_{12},2AA0_{13}*155A4_{13}=,2AA0_{13}*155A4_{13}=6214_{10}*40525_{10}=251797850_{10}=3CB7B105_{13},239C_{14}*10AA9_{14}=,239C_{14}*10AA9_{14}=6214_{10}*40525_{10}=251765350_{10},1C94_{15}*C01A_{15}=,1C94_{15}*C01A_{15}=6214_{10}*40525_{10}=251672350_{10}=17146D8BA_{15},1846_{16}*9E4D_{16}=,1846_{16}*9E4D_{16}=6214_{10}*40525_{10}=251792350_{10}=EDB020F_{16}
100000000100001_{2}*1000100001010110_{2}=,100000000100001_{2}*1000100001010110_{2}=66053_{10}*34962_{10}=2309919786_{10}=100010011100001100001110101010_{2},211112001_{3}*1202212200_{3}=,211112001_{3}*1202212200_{3}=16380_{10}*34802_{10}=569639160_{10}=1102011120000000000_{3},10000201_{4}*20201112_{4}=,10000201_{4}*20201112_{4}=16417_{10}*34902_{10}=572968734_{10}=2032102330132_{4},1011132_{5}*2104102_{5}=,1011132_{5}*2104102_{5}=16417_{10}*34802_{10}=571230034_{10}=2133213300114_{5},204001_{6}*425330_{6}=,204001_{6}*425330_{6}=16417_{10}*34902_{10}=572467734_{10}=13345554330_{6},65602_{7}*203520_{7}=,65602_{7}*203520_{7}=16417_{10}*34902_{10}=572844834_{10}=257422460362_{7},40041_{8}*104126_{8}=,40041_{8}*104126_{8}=16417_{10}*34802_{10}=570906034_{10}=426156662_{8},24461_{9}*52780_{9}=,24461_{9}*52780_{9}=16417_{10}*34902_{10}=572724834_{10}=1421772686_{9},16417_{10}*34902_{10}=,16417_{10}*34902_{10}=572860734_{10},11375_{11}*2424A_{11}=,11375_{11}*2424A_{11}=16417_{10}*34902_{10}=572946534_{10},9601_{12}*18246_{12}=,9601_{12}*18246_{12}=16417_{10}*34890_{10}=572576130_{10}=13B907B16_{12},761B_{13}*12B6A_{13}=,761B_{13}*12B6A_{13}=16417_{10}*453726_{10}=7455970542_{10}=1C6B8E817_{13},5DA9_{14}*CA10_{14}=,5DA9_{14}*CA10_{14}=16417_{10}*34902_{10}=572957634_{10}=56134B74_{14},4CE7_{15}*A51C_{15}=,4CE7_{15}*A51C_{15}=16417_{10}*34902_{10}=572826834_{10},4021_{16}*8856_{16}=,4021_{16}*8856_{16}=16417_{10}*34902_{10}=572865234_{10}=222AFDA_{16}
