equation_{2},answer_{2},equation_{3},answer_{3},equation_{4},answer_{4},equation_{5},answer_{5},equation_{6},answer_{6},equation_{7},answer_{7},equation_{8},answer_{8},equation_{9},answer_{9},equation_{10},answer_{10},equation_{11},answer_{11},equation_{12},answer_{12},equation_{13},answer_{13},equation_{14},answer_{14},equation_{15},answer_{15},equation_{16},answer_{16}
110001010011111_{2}*110101110101010_{2}=,110001010011111_{2}*110101110101010_{2}=100110011111000101100_{2},1021122002_{3}*1101210211_{3}=,1021122002_{3}*1101210211_{3}=59049_{10}*7567_{10}=446613783_{10},12022133_{4}*12232222_{4}=,12022133_{4}*12232222_{4}=344000000000_{4},1301442_{5}*1340222_{5}=,1301442_{5}*1340222_{5}=80372_{10}*16772_{10}=1349359464_{10}=1300404144_{5},312515_{6}*331334_{6}=,312515_{6}*331334_{6}=46657_{10}*42840_{10}=1998840480_{10}=33033233233030_{6},133415_{7}*143233_{7}=,133415_{7}*143233_{7}=24147_{10}*27262_{10}=658480214_{10},61237_{8}*65652_{8}=,61237_{8}*65652_{8}=1475243_{10}*1495366_{10}=2209253433838_{10},37562_{9}*41724_{9}=,37562_{9}*41724_{9}=379982865_{9},25247_{10}*27562_{10}=,25247_{10}*27562_{10}=696411614_{10},17A72_{11}*19787_{11}=,17A72_{11}*19787_{11}=16677_{10}*25284_{10}=421426668_{10}=1A85A46A8_{11},1273B_{12}*13B4A_{12}=,1273B_{12}*13B4A_{12}=2341.9166666666667_{10}*73294_{10}=171735114.1944444652_{10}=1B8C4B.43_{12},B651_{13}*C712_{13}=,B651_{13}*C712_{13}=25247_{10}*27562_{10}=695367914_{10}=BAK581A58_{13},92B5_{14}*A08A_{14}=,92B5_{14}*A08A_{14}=1A0492_{14},7732_{15}*8277_{15}=,7732_{15}*8277_{15}=27872_{10}*27462_{10}=764842064_{10}=5D78148E_{15},629F_{16}*6BAA_{16}=,629F_{16}*6BAA_{16}=25231_{10}*27562_{10}=695936022_{10}=A8698E6_{16}
101001011101_{2}*100001001001000_{2}=,101001011101_{2}*100001001001000_{2}=5525_{10}*109768_{10}=605446900_{10}=10010010000010001001001010100_{2},10122021_{3}*212021110_{3}=,10122021_{3}*212021110_{3}=21870_{10}*75808_{10}=1657948960_{10}=101221001212101212110100_{3},221131_{4}*10021020_{4}=,221131_{4}*10021020_{4}=2644_{10}*16418_{10}=43376672_{10},41103_{5}*1020333_{5}=,41103_{5}*1020333_{5}=778_{10}*16038_{10}=12473364_{10}=34440213304_{5},20141_{6}*210320_{6}=,20141_{6}*210320_{6}=493_{10}*7896_{10}=3895648_{10}=424532_{6},10510_{7}*100320_{7}=,10510_{7}*100320_{7}=2653_{10}*17068_{10}=45307364_{10}=4470669_{7},5135_{8}*41110_{8}=,5135_{8}*41110_{8}=501530_{8},3567_{9}*25243_{9}=,3567_{9}*25243_{9}=20364030_{9},2653_{10}*16968_{10}=,2653_{10}*16968_{10}=45030704_{10},1AA2_{11}*11826_{11}=,1AA2_{11}*11826_{11}=14641_{10}*183173_{10}=2684316533_{10}=1A6334998_{11},1651_{12}*99A0_{12}=,1651_{12}*99A0_{12}=2077_{10}*12512_{10}=25972724_{10},1291_{13}*7953_{13}=,1291_{13}*7953_{13}=2653_{10}*7959_{10}=21130827_{10}=2B12642A7_{13},D77_{14}*6280_{14}=,D77_{14}*6280_{14}=2545_{10}*16868_{10}=42983060_{10}=53420_{14},BBD_{15}*5063_{15}=,BBD_{15}*5063_{15}=2653_{10}*5063_{15}=13435639_{10},A5D_{16}*4248_{16}=,A5D_{16}*4248_{16}=2653_{10}*16968_{10}=45022824_{10}=ABD398_{16}
1000001011100010_{2}*111110001100101_{2}=,1000001011100010_{2}*111110001100101_{2}=1095186_{10}*127851_{10}=140119148686_{10}=101001101111111110100100101110_{2},1200221222_{3}*1121200110_{3}=,1200221222_{3}*1121200110_{3}=885062_{10}*195063_{10}=172654978106_{10},20023202_{4}*13301211_{4}=,20023202_{4}*13301211_{4}=16922_{10}*19749_{10}=334727678_{10}=799109_{4},2033011_{5}*2004340_{5}=,2033011_{5}*2004340_{5}=83244005_{5},415042_{6}*403233_{6}=,415042_{6}*403233_{6}=51822_{10}*46875_{10}=2430468750_{10}=3320304002_{6},166454_{7}*161562_{7}=,166454_{7}*161562_{7}=36132006_{7},101342_{8}*76145_{8}=,101342_{8}*76145_{8}=73640014_{8},50858_{9}*47613_{9}=,50858_{9}*47613_{9}=71180862_{9},33506_{10}*31845_{10}=,33506_{10}*31845_{10}=1068206770_{10},231A0_{11}*21A20_{11}=,231A0_{11}*21A20_{11}=26675_{10}*28110_{10}=750053250_{10}=2A232202_{11},17482_{12}*16519_{12}=,17482_{12}*16519_{12}=29842_{10}*25117_{10}=750034614_{10}=571114B4A_{12},12335_{13}*11658_{13}=,12335_{13}*11658_{13}=48210_{10}*39875_{10}=192438750_{10}=19289E94_{13},C2D4_{14}*B869_{14}=,C2D4_{14}*B869_{14}=33156_{10}*18605_{10}=616765980_{10}=158519257_{14},9DDB_{15}*9680_{15}=,9DDB_{15}*9680_{15}=33606_{10}*31845_{10}=1070902570_{10}=58581245_{15},82E2_{16}*7C65_{16}=,82E2_{16}*7C65_{16}=33506_{10}*31813_{10}=1065871098_{10}=3FA94EBA_{16}
110011110101001_{2}*100110110100101_{2}=,110011110101001_{2}*100110110100101_{2}=79913_{10}*48517_{10}=3884326021_{10}=11101000000001011000000000101_{2},1100101212_{3}*1000021012_{3}=,1100101212_{3}*1000021012_{3}=27077_{10}*21882_{10}=592903814_{10},12132221_{4}*10312211_{4}=,12132221_{4}*10312211_{4}=17196_{10}*19565_{10}=336910740_{10},1322122_{5}*1114002_{5}=,1322122_{5}*1114002_{5}=1323032201012_{5},322505_{6}*232005_{6}=,322505_{6}*232005_{6}=65254343300_{6},140240_{7}*111644_{7}=,140240_{7}*111644_{7}=11219213_{7},63651_{8}*46645_{8}=,63651_{8}*46645_{8}=3001353473_{8},40355_{9}*30235_{9}=,40355_{9}*30235_{9}=29196_{10}*20170_{10}=589104120_{10}=7668068153_{9},26537_{10}*19877_{10}=,26537_{10}*19877_{10}=528936049_{10},18A35_{11}*13A30_{11}=,18A35_{11}*13A30_{11}=19454_{10}*1756_{10}=34161424_{10}=34241_{11},13435_{12}*B605_{12}=,13435_{12}*B605_{12}=7A778CB5_{12},C104_{13}*9080_{13}=,C104_{13}*9080_{13}=26537_{10}*19877_{10}=528069949_{10}=747446496_{13},9957_{14}*735B_{14}=,9957_{14}*735B_{14}=26637_{10}*19977_{10}=532511049_{10}=17171333_{14},7CE2_{15}*5D52_{15}=,7CE2_{15}*5D52_{15}=6719736_{10}*32034_{10}=215383558624_{10},67A9_{16}*4DA5_{16}=,67A9_{16}*4DA5_{16}=24FC258D5_{16}
111101000000010_{2}*101101110101001_{2}=,111101000000010_{2}*101101110101001_{2}=1566794_{10}*1193785_{10}=1870567727290_{10},1120211211_{3}*1012012002_{3}=,1120211211_{3}*1012012002_{3}=26523_{10}*22318_{10}=592308114_{10},13220002_{4}*11232221_{4}=,13220002_{4}*11232221_{4}=20098_{10}*20921_{10}=421170658_{10}=22130222011112_{4},1444414_{5}*1222330_{5}=,1444414_{5}*1222330_{5}=3124_{10}*2640_{10}=8247360_{10}=24340420_{5},400334_{6}*300345_{6}=,400334_{6}*300345_{6}=51852_{10}*35107_{10}=1818284764_{10},160030_{7}*125261_{7}=,160030_{7}*125261_{7}=21041153_{7},75002_{8}*55651_{8}=,75002_{8}*55651_{8}=31234_{10}*23365_{10}=729332410_{10}=21331712_{8},46754_{9}*35162_{9}=,46754_{9}*35162_{9}=8428458_{9},31234_{10}*23465_{10}=,31234_{10}*23465_{10}=733649610_{10},21515_{11}*166A2_{11}=,21515_{11}*166A2_{11}=31435_{10}*12432_{10}=390276120_{10}=3927132_{11},160AA_{12}*116B5_{12}=,160AA_{12}*116B5_{12}=31234_{10}*23365_{10}=729649010_{10}=4B19B6A_{12},112A8_{13}*A8B0_{13}=,112A8_{13}*A8B0_{13}=13621_{10}*11620_{10}=158324420_{10}=14275_{13},B550_{14}*87A1_{14}=,B550_{14}*87A1_{14}=25108_{10}*19457_{10}=488968996_{10},93C4_{15}*6E45_{15}=,93C4_{15}*6E45_{15}=31332_{10}*23465_{10}=733868380_{10},7A02_{16}*5BA9_{16}=,7A02_{16}*5BA9_{16}=12290_{10}*23401_{10}=287579090_{10}=113F2F92_{16}
1001010101011000_{2}*11011111101011_{2}=,1001010101011000_{2}*11011111101011_{2}=95176_{10}*292427_{10}=27864950852_{10}=11001111100001100001011100_{2},1221110000_{3}*201122012_{3}=,1221110000_{3}*201122012_{3}=19683_{10}*54993_{10}=1082708879_{10}=100110022020211122222101_{3},21111120_{4}*3133223_{4}=,21111120_{4}*3133223_{4}=43333210_{4},2210412_{5}*424230_{5}=,2210412_{5}*424230_{5}=15777760712_{5},453000_{6}*150135_{6}=,453000_{6}*150135_{6}=242310500_{6},216315_{7}*56510_{7}=,216315_{7}*56510_{7}=68681_{10}*13129_{10}=901805849_{10}=61151035_{7},112530_{8}*33753_{8}=,112530_{8}*33753_{8}=13535530_{8},57400_{9}*21565_{9}=,57400_{9}*21565_{9}=65655_{10}*23614_{10}=1550705970_{10}=664353634_{9},38232_{10}*14315_{10}=,38232_{10}*14315_{10}=547479480_{10},267A7_{11}*A834_{11}=,267A7_{11}*A834_{11}=38132_{10}*14315_{10}=546533480_{10}=4695830_{11},1A160_{12}*834B_{12}=,1A160_{12}*834B_{12}=57864_{10}*10051_{10}=582347064_{10}=3CB13B8_{12},1452C_{13}*6692_{13}=,1452C_{13}*6692_{13}=ADCF5E6_{13},DD0C_{14}*5307_{14}=,DD0C_{14}*5307_{14}=26364_{10}*8295_{10}=218608020_{10}=60C728_{14},B4DC_{15}*4395_{15}=,B4DC_{15}*4395_{15}=130103500_{15},9558_{16}*37EB_{16}=,9558_{16}*37EB_{16}=38232_{10}*14251_{10}=546139032_{10}
1000000100110011_{2}*10001110100111_{2}=,1000000100110011_{2}*10001110100111_{2}=1000001111100111001111011_{2},1200101000_{3}*110112001_{3}=,1200101000_{3}*110112001_{3}=24435_{10}*9060_{10}=221398600_{10}=1111001110202121000_{3},20010303_{4}*2032213_{4}=,20010303_{4}*2032213_{4}=262411_{10}*3275_{10}=859693725_{10}=3132202111_{4},2024300_{5}*243002_{5}=,2024300_{5}*243002_{5}=1250_{10}*622_{10}=777500_{10}=1202140_{5},413043_{6}*110131_{6}=,413043_{6}*110131_{6}=6711_{10}*2149_{10}=14418239_{10}=2010101_{6},165300_{7}*35416_{7}=,165300_{7}*35416_{7}=313010_{7},100463_{8}*21647_{8}=,100463_{8}*21647_{8}=32799_{10}*9079_{10}=297614121_{10}=643701371_{8},50330_{9}*13461_{9}=,50330_{9}*13461_{9}=435402770_{9},33075_{10}*9127_{10}=,33075_{10}*9127_{10}=301979925_{10},22939_{11}*6948_{11}=,22939_{11}*6948_{11}=32675_{10}*9113_{10}=297355675_{10},17183_{12}*5347_{12}=,17183_{12}*5347_{12}=24003_{10}*2647_{10}=63508241_{10}=305357534_{12},12093_{13}*4201_{13}=,12093_{13}*4201_{13}=28561_{10}*7377_{10}=210805377_{10}=6B080813C_{13},C0A7_{14}*347D_{14}=,C0A7_{14}*347D_{14}=33075_{10}*9127_{10}=301779225_{10},9C00_{15}*2A87_{15}=,9C00_{15}*2A87_{15}=33075_{10}*9127_{10}=301752525_{10}=8521210_{15},8133_{16}*23A7_{16}=,8133_{16}*23A7_{16}=33011_{10}*9111_{10}=300562221_{10}=11CA92ED_{16}
100100000100110_{2}*10001111000110_{2}=,100100000100110_{2}*10001111000110_{2}=30166_{10}*28686_{10}=866444076_{10}=110011111101101100100110_{2},221100002_{3}*110120012_{3}=,221100002_{3}*110120012_{3}=1458_{10}*145_{10}=211710_{10}=1011221000_{3},10200212_{4}*2033012_{4}=,10200212_{4}*2033012_{4}=16934_{10}*8440_{10}=143047360_{10}=43093783_{4},1042340_{5}*243113_{5}=,1042340_{5}*243113_{5}=3900_{10}*1838_{10}=7162200_{10},221302_{6}*110222_{6}=,221302_{6}*110222_{6}=12203201414_{6},104564_{7}*35462_{7}=,104564_{7}*35462_{7}=24026_{10}*1796_{10}=43264796_{10}=3214145452_{7},44046_{8}*21706_{8}=,44046_{8}*21706_{8}=2642024_{8},27302_{9}*13505_{9}=,27302_{9}*13505_{9}=18470_{10}*9160_{10}=169325200_{10}=415240386_{9},18470_{10}*9158_{10}=,18470_{10}*9158_{10}=169259060_{10},12971_{11}*6976_{11}=,12971_{11}*6976_{11}=14801_{10}*8217_{10}=121640617_{10}=1A7B336_{11},A832_{12}*5372_{12}=,A832_{12}*5372_{12}=15488_{10}*2314_{10}=35861152_{10}=1B98A_{12},853A_{13}*4226_{13}=,853A_{13}*4226_{13}=18470_{10}*9158_{10}=169326860_{10}=37747740_{13},6A34_{14}*34A2_{14}=,6A34_{14}*34A2_{14}=54816_{10}*10916_{10}=598102656_{10}=1656154_{14},5715_{15}*2AA8_{15}=,5715_{15}*2AA8_{15}=52220_{10}*12008_{10}=627045760_{10},4826_{16}*23C6_{16}=,4826_{16}*23C6_{16}=18630_{10}*9990_{10}=186093930_{10}=11C9D51A_{16}
1100001000110_{2}*1001111001001101_{2}=,1100001000110_{2}*1001111001001101_{2}=6390_{10}*50525_{10}=323155750_{10}=1001111001001101000_{2},22112011_{3}*2001120221_{3}=,22112011_{3}*2001120221_{3}=43752_{10}*22157_{10}=969955064_{10},1201012_{4}*21321031_{4}=,1201012_{4}*21321031_{4}=6204_{10}*40015_{10}=248235060_{10},144324_{5}*2244100_{5}=,144324_{5}*2244100_{5}=1242_{10}*2500_{10}=3105000_{10}=12410000_{5},44434_{6}*511341_{6}=,44434_{6}*511341_{6}=1564_{10}*79405_{10}=124193620_{10}=2004004042_{6},24055_{7}*226102_{7}=,2405_{7}*226102_{7}=14231202205_{7},14106_{8}*117115_{8}=,14106_{8}*117115_{8}=341106_{8},8464_{9}*61527_{9}=,8464_{9}*61527_{9}=5832_{10}*30385_{10}=177191320_{10}=3600663664_{9},6214_{10}*40525_{10}=,6214_{10}*40525_{10}=252065050_{10},473A_{11}*284A1_{11}=,473A_{11}*284A1_{11}=2261AA_{11},371A_{12}*1B551_{12}=,371A_{12}*1B551_{12}=6214_{10}*40425_{10}=251496150_{10},2AA0_{13}*155A4_{13}=,2AA0_{13}*155A4_{13}=37924_{10}*354192_{10}=13449331648_{10}=4B7B18A0_{13},239C_{14}*10AA9_{14}=,239C_{14}*10AA9_{14}=6214_{10}*40525_{10}=251639150_{10},1C94_{15}*C01A_{15}=,1C94_{15}*C01A_{15}=6214_{10}*40525_{10}=251534350_{10},1846_{16}*9E4D_{16}=,1846_{16}*9E4D_{16}=6246_{10}*40557_{10}=252888522_{10}=3D504CA_{16}
100000000100001_{2}*1000100001010110_{2}=,100000000100001_{2}*1000100001010110_{2}=351105_{10}*43038_{10}=15100061930_{10},211112001_{3}*1202212200_{3}=,211112001_{3}*1202212200_{3}=65625_{10}*766800_{10}=50336550000_{10}=202011221200_{3},10000201_{4}*20201112_{4}=,10000201_{4}*20201112_{4}=16385_{10}*82242_{10}=1346765370_{10},1011132_{5}*2104102_{5}=,1011132_{5}*2104102_{5}=7817_{10}*36707_{10}=287029619_{10}=4203420344_{5},204001_{6}*425330_{6}=,204001_{6}*425330_{6}=23320140_{6},65602_{7}*203520_{7}=,65602_{7}*203520_{7}=16417_{10}*34888_{10}=572760496_{10}=6458_{7},40041_{8}*104126_{8}=,40041_{8}*104126_{8}=10160400416_{8},24461_{9}*52780_{9}=,24461_{9}*52780_{9}=29160_{10}*51335_{10}=1497051600_{10},16417_{10}*34902_{10}=,16417_{10}*34902_{10}=572124234_{10},11375_{11}*2424A_{11}=,11375_{11}*2424A_{11}=14641_{10}*29915_{10}=438361115_{10}=1A0102A0_{11},9601_{12}*18246_{12}=,9601_{12}*18246_{12}=11664_{10}*28158_{10}=328804112_{10},761B_{13}*12B6A_{13}=,761B_{13}*12B6A_{13}=16317_{10}*35004_{10}=571991068_{10},5DA9_{14}*CA10_{14}=,5DA9_{14}*CA10_{14}=16317_{10}*34902_{10}=569413634_{10},4CE7_{15}*A51C_{15}=,4CE7_{15}*A51C_{15}=16017_{10}*34802_{10}=557705034_{10}=73F710_{15},4021_{16}*8856_{16}=,4021_{16}*8856_{16}=16385_{10}*34918_{10}=571949930_{10}=8A4C9AA_{16}
